gen best mean std
0 57.273152 -1.742832 10.173053
1 66.16227 4.090125 15.886633
2 57.732142 8.253767 16.279918
3 66.16227 16.221075 19.69664
4 57.732142 23.593523 23.260085
5 57.732142 27.872738 25.713751
6 57.752976 34.031157 25.366757
7 66.219256 43.91178 24.074101
8 75.225448 46.984429 22.724662
9 66.601837 39.898623 26.999408
10 66.752976 45.397928 23.732302
11 94.023266 45.822548 25.876005
12 94.023266 46.311976 26.648062
13 94.023266 45.056183 25.18073
14 94.023266 53.54029 20.697551
15 94.023266 50.403497 25.081532
16 94.023266 46.780277 28.510585
17 94.023266 49.989236 25.450588
18 94.023266 52.877325 23.902224
19 94.023266 58.571291 20.299357
20 94.023266 58.432081 21.645802
21 94.023266 61.830283 20.187442
22 94.023266 60.942094 21.722626
23 94.023266 57.517287 29.284942
24 94.023266 55.541678 31.041851
25 94.023266 54.643797 33.108454
26 94.023266 57.252145 34.858289
27 94.023266 54.661637 38.582568
28 94.023266 69.482253 29.958263
29 94.023266 68.897297 34.344187
30 94.023266 71.732507 34.48739
31 94.023266 69.450441 35.843721
32 94.023266 78.537101 31.682952
33 94.023266 79.68608 27.288289
34 94.023266 80.165985 30.734241
35 94.023266 82.975936 25.571981
36 94.023266 79.882365 29.230696
37 94.023266 75.364756 33.685911
38 94.023266 87.048205 22.664378
39 94.023266 78.08622 31.608739
40 94.023266 82.705511 26.986731
41 94.023266 74.450579 33.716038
42 94.023266 84.309474 24.108244
43 94.023266 80.030134 27.660043
44 94.023266 76.797005 32.043951
45 94.023266 82.026375 25.304716
46 94.023266 83.588326 25.272737
47 94.023266 77.450922 32.167871
48 94.023266 82.632602 27.851391
49 94.023266 78.339547 31.577958
50 94.023266 80.413871 28.892436
51 94.023266 85.776013 22.082352
52 94.023266 77.548821 32.969452
53 94.023266 77.269329 31.315482
54 94.023266 80.593094 28.406578
55 94.023266 76.952244 32.054598
56 94.023266 81.552785 25.480047
57 94.023266 83.953241 24.343442
58 94.023266 86.399018 22.47595
59 94.023266 82.24103 27.347513
60 94.023266 79.86783 30.48099
61 94.023266 75.642311 33.918579
62 94.023266 80.522426 29.682164
63 94.023266 75.262954 33.718896
64 94.023266 74.366301 33.857117
65 94.023266 77.264424 30.582421
66 94.023266 80.299212 26.918329
67 94.023266 79.531251 28.896673
68 94.023266 85.75256 23.694179
69 94.023266 81.694893 26.66604
70 94.023266 83.124431 24.039439
71 94.023266 79.948194 27.664444
72 94.023266 77.503443 30.788234
73 94.023266 79.605472 29.073572
74 94.023266 79.693098 29.590761
75 94.023266 81.687515 27.373198
76 94.023266 82.308688 25.606503
77 94.023266 80.023395 27.929392
78 94.023266 80.949697 29.581068
79 94.023266 74.801935 32.890631
80 94.023266 80.064582 28.916646
81 94.023266 82.961361 25.514576
82 94.023266 78.761632 28.611135
83 94.023266 82.859416 24.908779
84 94.023266 80.804845 30.80864
85 94.023266 82.120088 25.668442
86 94.023266 79.064566 30.641337
87 94.023266 81.790847 27.071806
88 94.023266 76.831911 33.541992
89 94.023266 84.878896 24.499578
90 94.023266 80.001508 30.757622
91 94.023266 86.220433 21.9837
92 94.023266 82.697087 27.636376
93 94.023266 81.306386 27.286808
94 94.023266 78.159845 31.332511
95 94.023266 72.271503 36.405208
96 94.023266 81.770519 27.251254
97 94.023266 83.140879 25.399485
98 94.023266 76.656867 30.23312
99 94.023266 81.395862 26.136327
100 94.023266 82.696597 25.929302
101 94.023266 73.481381 35.32187
102 94.023266 79.633791 28.449126
103 94.023266 78.81001 31.319021
104 94.023266 76.178962 31.718731
105 94.023266 77.342768 33.102852
106 94.023266 78.783433 29.638423
107 94.023266 79.024067 30.883191
108 94.023266 77.099717 32.739899
109 94.023266 77.344554 31.585199
110 94.023266 81.14815 26.782052
111 94.023266 83.495657 25.565122
112 94.023266 81.940169 26.442291
113 94.023266 81.773305 27.193723
114 94.023266 77.895162 31.819423
115 94.023266 83.309966 26.2097
116 94.023266 76.170274 32.611546
117 94.023266 79.774565 27.613677
118 94.023266 79.139749 28.890618
119 94.023266 79.427415 30.115309
120 94.023266 77.094328 32.368379
121 94.023266 77.674888 28.929256
122 94.023266 84.032777 24.048184
123 94.023266 80.054898 30.340849
124 94.023266 83.249277 28.343234
125 94.023266 78.627197 33.399304
126 94.023266 85.585652 22.808675
127 94.023266 80.120827 27.46866
128 94.023266 81.504294 28.75804
129 94.023266 82.062932 28.418896
130 94.023266 82.606325 27.769872
131 94.023266 77.693398 31.904031
132 94.023266 77.515303 28.74304
133 94.023266 86.298907 19.971643
134 94.023266 84.326051 24.847064
135 94.023266 83.317399 25.101522
136 94.023266 78.004784 32.209481
137 94.023266 76.354757 32.842721
138 94.023266 83.332194 25.338489
139 94.023266 82.334593 26.155014
140 94.023266 79.341675 28.939777
141 94.023266 80.72509 29.027863
142 94.023266 80.413821 28.232408
143 94.023266 77.889978 30.152447
144 94.023266 72.547845 34.91444
145 94.023266 77.079813 32.018332
146 94.023266 81.23967 28.174059
147 94.023266 80.991757 29.673003
148 94.023266 72.75394 35.696228
149 94.023266 81.003374 27.616579
150 94.023266 74.453373 35.100535
151 94.023266 75.703388 31.204297
152 94.023266 77.807652 31.982779
153 94.023266 78.879058 31.050536
154 94.023266 80.600114 30.020174
155 94.023266 79.220538 29.712567
156 94.023266 75.392644 35.818995
157 94.023266 75.446535 32.828752
158 94.023266 81.434737 28.501676
159 94.023266 74.497808 31.53657
160 94.023266 80.882737 29.106756
161 94.023266 83.961771 25.36298
162 94.023266 79.41996 30.189076
163 94.023266 78.272203 32.698373
164 94.023266 80.011105 30.826313
165 94.023266 78.498483 31.111764
166 94.023266 82.217435 28.004864
167 94.023266 78.235405 28.84934
168 94.023266 84.291996 22.592151
169 94.023266 80.040542 26.729466
170 94.023266 84.96823 26.188553
171 94.023266 80.274654 31.348288
172 94.023266 80.925382 26.403575
173 94.023266 77.17706 34.112017
174 94.023266 80.41919 28.836368
175 94.023266 80.95221 27.758153
176 94.023266 82.96117 26.027249
177 94.023266 82.596595 26.89248
178 94.023266 76.619102 31.918396
179 94.023266 78.984671 28.950972
180 94.023266 80.426435 27.974844
181 94.023266 81.145435 27.169466
182 94.023266 79.329007 30.54199
183 94.023266 83.970365 25.084049
184 94.023266 79.871143 29.520635
185 94.023266 80.86979 30.138253
186 94.023266 82.752818 25.762204
187 94.023266 77.998698 32.481391
188 94.023266 77.997432 34.31585
189 94.023266 78.093317 30.76926
190 94.023266 82.607068 25.644456
191 94.023266 82.423345 27.378563
192 94.023266 75.172343 33.199851
193 94.023266 81.220114 25.945743
194 94.023266 77.177941 32.388545
195 94.023266 82.028034 26.603287
196 94.023266 83.77843 25.741936
197 94.023266 83.599238 24.669648
198 94.023266 82.691656 26.687138
199 94.023266 77.291461 33.162482
200 94.023266 82.14651 27.304707
201 94.023266 76.546975 32.660054
202 94.023266 78.88617 31.119441
203 94.023266 77.033579 32.578543
204 94.023266 77.072502 33.169112
205 94.023266 79.067882 31.072663
206 94.023266 78.960357 29.769211
207 94.023266 77.239252 33.541548
208 94.023266 82.246441 27.032529
209 94.023266 84.236387 26.247247
210 94.023266 76.813489 32.891481
211 94.023266 70.122779 35.314777
212 94.023266 78.796608 30.471698
213 94.023266 79.735071 30.768935
214 94.023266 85.478693 25.338315
215 94.023266 84.496532 24.180777
216 94.023266 80.829426 26.2359
217 94.023266 73.456713 34.397131
218 94.023266 82.591387 27.810337
219 94.023266 83.051784 26.224566
220 94.023266 83.254158 26.055706
221 94.023266 80.930921 25.557731
222 94.023266 85.484561 23.796617
223 94.023266 82.768474 28.514174
224 94.023266 83.03443 26.722096
225 94.023266 83.423565 25.493941
226 94.023266 79.134101 29.379822
227 94.023266 83.785057 25.428131
228 94.023266 80.688652 28.822155
229 94.023266 82.039677 27.901058
230 94.023266 80.594097 28.583011
231 94.023266 81.144663 27.343112
232 94.023266 79.152203 30.70449
233 94.023266 77.254307 30.242055
234 94.023266 82.496441 26.592717
235 94.023266 84.497943 24.435023
236 94.023266 77.6378 31.566853
237 94.023266 81.160864 28.88224
238 94.023266 77.969943 31.964377
239 94.023266 77.801217 33.85496
240 94.023266 79.976595 29.551841
241 94.023266 83.864523 25.639068
242 94.023266 83.120176 24.961833
243 94.023266 76.70913 33.265765
244 94.023266 79.619959 29.730601
245 94.023266 80.049735 27.005425
246 94.023266 83.584934 25.461971
247 94.023266 77.591217 28.824981
248 94.023266 79.063646 30.463662
249 94.023266 82.47799 25.377449
250 94.023266 77.802808 30.750208
251 94.023266 79.617049 28.909726
252 94.023266 78.776553 30.001224
253 94.023266 82.677859 28.357059
254 94.023266 80.517056 29.60424
255 94.023266 78.430621 31.795414
256 94.023266 84.223318 23.590354
257 94.023266 78.358167 31.72276
258 94.023266 78.701149 31.500193
259 94.023266 83.14314 26.359169
260 94.023266 83.578019 25.454183
261 94.023266 78.047115 31.093555
262 94.023266 78.897881 30.519655
263 94.023266 76.158767 31.481342
264 94.023266 84.641194 22.465949
265 94.023266 82.623265 27.397425
266 94.023266 77.14243 29.754252
267 94.023266 77.545678 31.59939
268 94.023266 79.701221 28.322918
269 94.023266 82.512056 26.223556
270 94.023266 83.947065 23.451324
271 94.023266 80.515789 29.349875
272 94.023266 86.219125 22.030096
273 94.023266 82.341432 28.174967
274 94.023266 82.762666 24.197553
275 94.023266 79.689527 29.981181
276 94.023266 78.055951 30.853649
277 94.023266 77.357389 32.009663
278 94.023266 83.498658 26.890175
279 94.023266 80.992262 29.606797
280 94.023266 84.298439 23.879985
281 94.023266 84.333416 23.831019
282 94.023266 85.870073 25.152408
283 94.023266 82.301964 26.01893
284 94.023266 76.354827 32.674473
285 94.023266 75.719513 33.610224
286 94.023266 75.918393 33.930681
287 94.023266 77.008018 32.977364
288 94.023266 78.810326 30.739144
289 94.023266 85.769971 23.381846
290 94.023266 82.427594 27.889015
291 94.023266 84.739927 22.534935
292 94.023266 82.520582 28.697213
293 94.023266 78.81802 31.57739
294 94.023266 80.149122 29.524332
295 94.023266 79.313261 28.211721
296 94.023266 72.709305 34.603647
297 94.023266 78.435658 29.603408
298 94.023266 81.679533 26.585723
299 94.023266 79.515536 29.405
300 94.023266 77.516763 33.183162
301 94.023266 74.472953 33.347153
302 94.023266 76.193411 32.192366
303 94.023266 82.070009 28.438565
304 94.023266 78.102547 31.330481
305 94.023266 81.744329 30.371858
306 94.023266 81.788834 28.725757
307 94.023266 76.898707 31.733212
308 94.023266 77.428888 30.779811
309 94.023266 79.02551 32.32313
310 94.023266 85.521271 22.609115
311 94.023266 75.360168 32.42176
312 94.023266 79.883795 29.937567
313 94.023266 80.067924 30.525195
314 94.023266 81.440672 28.742986
315 94.023266 80.701117 31.283815
316 94.023266 77.167672 32.093743
317 94.023266 76.169874 31.379283
318 94.023266 81.062473 29.745409
319 94.023266 80.516782 30.527488
320 94.023266 79.329394 29.463397
321 94.023266 73.019036 32.761434
322 94.023266 81.428081 27.048945
323 94.023266 81.784188 25.401609
