gen best mean std
0 34.513904 -4.085078 7.362383
1 35.318655 0.235469 11.448506
2 49.406256 0.204626 11.998019
3 56.221642 4.864274 19.148737
4 56.221642 5.013725 17.952863
5 56.221642 4.146103 17.578977
6 56.221642 2.691491 17.746053
7 56.221642 7.919484 20.278791
8 56.221642 13.057953 24.552606
9 56.221642 11.448629 22.898683
10 63.654582 10.958822 24.795987
11 63.654582 10.465818 24.1228
12 63.710619 16.331129 28.01498
13 63.710619 16.928791 28.727727
14 63.710619 17.056724 28.929231
15 63.731068 20.441879 29.388245
16 63.731068 22.590563 29.693471
17 63.731068 17.421964 27.492992
18 63.731068 21.486293 30.361816
19 63.731068 24.572435 29.145102
20 63.731068 26.780302 30.233094
21 63.731068 20.634233 29.460568
22 63.827266 30.40016 30.017204
23 63.827266 24.765812 28.874935
24 63.854318 31.414709 30.287202
25 63.870929 31.179697 29.039643
26 63.870929 29.23095 28.888758
27 63.870929 33.700839 27.747244
28 70.850845 29.499721 28.399826
29 84.600314 26.699363 28.229653
30 85.499923 35.554577 33.065258
31 85.927588 41.830157 36.353626
32 85.957061 46.83804 35.319904
33 85.957061 48.650477 37.021518
34 85.963332 47.716493 35.363576
35 85.963332 51.858528 35.806585
36 85.963368 47.272195 36.012386
37 85.963368 49.791098 35.827842
38 85.963368 57.767693 34.42271
39 85.96349 57.558013 32.48802
40 85.96349 61.578817 29.349239
41 85.96349 64.961243 26.439545
42 85.96349 56.468498 30.225174
43 85.96349 56.455548 31.362684
44 85.96349 64.760115 23.472908
45 85.96349 59.912855 29.149812
46 85.963522 65.837194 20.305196
47 85.963368 67.250289 20.042654
48 85.963223 62.873339 19.18381
49 85.963223 62.837858 19.67581
50 85.963067 66.638195 14.705017
