gen best mean std
0 1.62802 -4.213693 1.577635
1 2.872438 -1.280086 2.796862
2 3.720491 0.608696 2.705142
3 4.056036 0.133377 2.864847
4 4.429538 0.73348 2.746714
5 4.727127 1.294844 2.738301
6 5.084834 1.706061 2.653472
7 5.346701 1.775005 2.707902
8 5.728125 2.049665 2.577695
9 6.37122 2.31811 2.719772
10 6.513721 2.809671 2.561047
11 6.758841 3.56214 2.71172
12 7.6699 3.11563 2.701408
13 7.6699 3.502157 2.76576
14 9.260403 4.038433 2.899206
15 9.755729 4.542252 2.865917
16 9.877543 6.209496 2.563485
17 18.073877 5.636994 3.587638
18 18.658204 6.561758 4.366624
19 19.134434 10.071331 7.479442
20 19.585067 17.978578 4.082807
21 19.88602 17.091606 6.10831
22 20.186973 17.796647 5.42163
23 20.337411 17.785285 6.336983
24 20.78888 18.315089 5.461736
25 21.089833 18.465311 6.169202
26 21.390786 18.69791 5.880156
27 21.691739 19.318253 5.528941
28 21.992692 18.842186 6.856721
29 22.293645 20.003041 5.504917
30 22.594599 19.935515 6.043564
31 22.895552 21.284327 4.283806
32 23.196505 19.685376 6.982468
33 23.497458 20.93469 5.831451
34 23.798411 21.05457 6.226678
35 24.099365 20.849584 7.077084
36 24.400318 23.103022 3.570409
37 24.54783 22.360036 5.378928
38 25.002224 21.733983 7.437107
39 25.303177 23.014879 5.733941
40 25.60413 22.160796 7.939217
41 25.905084 24.361513 4.12795
42 26.206037 23.765921 5.562617
43 26.50699 23.295213 6.997795
44 26.807943 24.919045 4.219472
45 27.108896 24.102896 6.83424
46 27.409849 25.41236 4.644672
47 27.710803 24.460995 7.260297
48 28.011756 26.101382 5.329705
49 28.312709 25.775504 6.237466
50 28.613662 26.33635 6.117018
51 28.914615 26.535052 6.073374
52 29.215568 25.567144 8.595112
53 29.516522 26.673236 7.539365
54 29.817475 26.880417 7.521352
55 30.118428 26.965015 6.997507
56 30.419381 28.526213 5.095919
57 30.720334 27.757496 7.046312
58 30.863458 28.774738 5.609881
59 31.322241 28.647108 6.560267
