gen best mean std
0 74.904175 2.122127 17.230577
1 88.342332 46.730324 25.397799
2 88.342332 50.5113 22.852214
3 88.342332 43.695666 23.441314
4 88.342332 50.277978 22.347293
5 88.342332 55.799901 20.145494
6 88.342332 55.343303 20.119223
7 88.342332 60.034335 20.123603
8 88.342332 61.713706 21.810301
9 88.342332 57.820525 19.300888
10 88.342332 60.960277 20.941792
11 88.342332 61.277131 19.710393
12 88.342332 61.259252 21.470516
13 88.342332 60.11885 20.247018
14 88.342332 64.65792 20.542892
15 88.342332 60.69929 20.442111
16 88.342332 59.47609 18.587479
17 88.342332 63.777731 21.41885
18 88.342332 61.719691 20.153966
19 88.342332 64.033726 20.333232
20 88.342332 56.799773 18.256938
21 88.342332 61.890815 20.426509
22 88.342332 61.779549 21.238423
23 88.342332 59.13523 19.425772
24 88.342332 63.030277 20.91969
25 88.342332 60.003998 21.280763
26 88.342332 59.217459 18.524047
27 88.342332 58.378553 19.268038
28 88.342332 61.601512 20.832057
29 88.342332 64.257433 21.19867
30 88.342332 59.945891 18.797245
31 88.342332 58.448973 18.976677
32 89.567552 60.714691 19.74496
33 89.567552 58.050756 21.202958
34 89.567552 57.504188 24.752207
35 89.567552 51.376609 25.194114
36 89.567552 53.071371 26.770731
37 89.567552 54.191197 25.594555
38 89.567552 54.427965 26.549063
39 89.567552 56.667249 26.653265
40 89.567552 54.922114 24.327508
41 89.567552 54.395332 25.655243
42 89.567552 56.482217 25.884075
43 89.567552 57.649905 25.334071
44 89.567552 56.865359 26.01184
45 89.567552 51.867332 26.129892
46 89.567552 49.941464 24.539534
47 89.567552 53.024369 25.823731
48 89.567552 53.978818 23.668512
49 89.567552 56.252866 25.779208
50 89.567552 52.908315 23.795258
