gen best mean std
0 87.514 2.117708 20.839209
1 89.813532 78.051629 27.008468
2 88.153103 77.463616 27.375334
3 87.525869 77.283873 28.08624
4 87.556175 70.674312 35.061067
5 87.657882 76.881959 27.724237
6 87.525869 66.544953 37.191092
7 87.537882 77.002709 28.458807
8 87.525869 77.125772 28.345422
9 87.525869 74.347527 30.765831
10 87.525869 80.203006 23.358251
11 87.525869 72.21316 33.242832
12 87.525869 77.42387 27.267147
13 87.525869 73.153552 32.068786
14 87.525869 74.317749 31.518873
15 87.525869 76.148219 29.056759
16 87.525869 72.664285 33.189348
17 87.545392 73.314204 31.927318
18 88.673548 71.545914 32.869928
19 91.536678 70.932488 32.656128
20 91.536678 68.155291 35.144862
21 91.536678 73.032972 31.401355
22 91.536678 67.669081 34.672628
23 91.536678 69.705434 34.083246
24 91.536678 68.643411 35.244034
25 91.536678 77.371305 28.368538
26 91.536678 74.089382 29.861358
27 91.536678 73.593391 28.895058
28 91.536678 77.018458 28.463892
29 91.536678 73.37157 28.574834
30 91.536678 75.390213 28.320262
31 91.536678 80.192491 24.741474
32 92.173152 75.427738 28.220451
33 92.173152 75.595564 29.694423
34 92.173152 69.693056 33.991856
35 92.173152 54.500913 43.567359
36 92.173152 65.530285 41.400818
37 92.173152 53.702357 45.289263
38 92.173152 63.569364 42.302698
39 92.173152 63.502411 41.885043
40 92.173152 63.590418 41.815958
41 92.173152 49.707835 44.747988
42 92.173152 63.994086 41.813393
43 92.173152 64.41275 40.904185
44 92.173152 60.477015 42.235911
45 92.173152 61.38591 42.829056
46 92.173152 65.315564 40.941174
47 92.173152 56.487336 44.66413
48 92.173152 59.636 43.13214
49 92.173152 58.841083 43.245979
50 92.173152 51.572318 45.208871
